,ms name,language,date,contents
10,ACE 00008,Syriac,"1,700 CE","['Bible. New Testament\nExtant portion of text begins with Matthew 13:33 and ends with Hebrews 8:6', 'Extant portion of text begins with Matthew 13:33 and ends with Hebrews 8:6']"
11,ACE 00009,Syriac,"1,783 CE","['Lectionary (Chaldean Rite)\nBible Lectionary\nܟܬܒܐ ܕܩܪ̈ܝܢܐ ܡܦܪ̈ܫܐ ܕܟܠܗ̇ ܫܢܬܐ ܕܚܕܒܫܒ̈ܐ', 'Bible Lectionary', 'ܟܬܒܐ ܕܩܪ̈ܝܢܐ ܡܦܪ̈ܫܐ ܕܟܠܗ̇ ܫܢܬܐ ܕܚܕܒܫܒ̈ܐ']"
12,ACE 00010,Syriac,"1,942 CE","['Lectionary (Chaldean Rite)\nBible Lectionary\nܟܬܒܐ ܕܩܪ̈ܝܢܐ ܕܝܘ̈ܡܬܐ ܦܪ̈ܝܫܐ ܕܟܠܗ̇ ܫܢܬܐ', 'Bible Lectionary', 'ܟܬܒܐ ܕܩܪ̈ܝܢܐ ܕܝܘ̈ܡܬܐ ܦܪ̈ܝܫܐ ܕܟܠܗ̇ ܫܢܬܐ']"
13,ACE 00011,Syriac,"1,674 CE","['Gospel Lectionary\nܟܬܒܐ ܩܕܝܫܐ ܕܐܘܢܓܠܝܘܢ ܣܓܝܕܐ', 'ܟܬܒܐ ܩܕܝܫܐ ܕܐܘܢܓܠܝܘܢ ܣܓܝܕܐ']"
14,ACE 00012,Syriac,"1,683 CE",['Gospel Lectionary']
15,ACE 00013,Syriac,"1,696 CE","['Gospel Lectionary\nܟܬܒܐ ܐܘܢܓܠܝܘܢ ܩܕܝܫܐ ܩܪ̈ܝܢܐ ܡܦܪ݀ܫܐ ܕܟܠܗ̇ ܫܢܬܐ', 'ܟܬܒܐ ܐܘܢܓܠܝܘܢ ܩܕܝܫܐ ܩܪ̈ܝܢܐ ܡܦܪ݀ܫܐ ܕܟܠܗ̇ ܫܢܬܐ']"
16,ACE 00014,Syriac,"1,721 CE","['Gospel Lectionary\nܟܬܒܐ ܩܕܝܫܐ ܕܐܘܢܓܠܝܘܢ ܣܓܝܕܐ', 'ܟܬܒܐ ܩܕܝܫܐ ܕܐܘܢܓܠܝܘܢ ܣܓܝܕܐ']"
17,ACE 00015,Syriac,"1,722 CE","['Gospel lectionary\nܟܬܒܐ ܩܕܝܫܐ ܕܐܘܢܓܠܝܘܢ ܣܓܝܕܐ ܕܩܪ̈ܝܢܐ ܡܦܪ̈ܫܐ ܕܟܠܗ̇ ܫܢܬܐ', 'ܟܬܒܐ ܩܕܝܫܐ ܕܐܘܢܓܠܝܘܢ ܣܓܝܕܐ ܕܩܪ̈ܝܢܐ ܡܦܪ̈ܫܐ ܕܟܠܗ̇ ܫܢܬܐ']"
18,ACE 00016,Syriac,"1,863 CE","['Gospel Lectionary\nܟܬܒܐ ܩܕܝܫܐ ܕܐܘܢܓܠܝܘܢ ܣܓܝܕܐ ܕܩܪ̈ܝܢܐ ܕܟܠܗ̇ ܫܢܬܐ', 'ܟܬܒܐ ܩܕܝܫܐ ܕܐܘܢܓܠܝܘܢ ܣܓܝܕܐ ܕܩܪ̈ܝܢܐ ܕܟܠܗ̇ ܫܢܬܐ']"
19,ACE 00017,Syriac,"1,877 CE","['Gospel Lectionary\nܟܬܒܐ ܩܕܝܫܐ ܕܐܘܢܓܠܝܘܢ ܣܓܝܕܐ', 'ܟܬܒܐ ܩܕܝܫܐ ܕܐܘܢܓܠܝܘܢ ܣܓܝܕܐ']"
20,ACE 00018,Syriac,"1,707 CE","['New Testament Lectionary\nܟܬܒܐ ܕܦܘܪܫ ܩܪ̈ܝܢܐ ܕܡܟܢܫܝܢ ܡܢ ܐܓܪ̈ܬܗ ܕܢܘܗܪܗ̇ ܕܥܕܬܐ. ܡܪܝ ܦܘܠܘܣ ܫܠܝܚܐ ܫܡܝܢܐ', 'ܟܬܒܐ ܕܦܘܪܫ ܩܪ̈ܝܢܐ ܕܡܟܢܫܝܢ ܡܢ ܐܓܪ̈ܬܗ ܕܢܘܗܪܗ̇ ܕܥܕܬܐ. ܡܪܝ ܦܘܠܘܣ ܫܠܝܚܐ ܫܡܝܢܐ']"
21,ACE 00019,Syriac,"1,714 CE","['New Testament Lectionary\nܟܬܒܐ ܕܦܘܪܫ ܩܪ̈ܝܢܐ ܕܡܟܢܫܝܢ ܡܢ ܐܓܪ̈ܬܗ ܕܢܘܗܪܗ̇ ܕܥܕܬܐ. ܡܪܝ ܦܘܠܘܣ ܫܠܝܚܐ ܫܡܝܢܐ', 'ܟܬܒܐ ܕܦܘܪܫ ܩܪ̈ܝܢܐ ܕܡܟܢܫܝܢ ܡܢ ܐܓܪ̈ܬܗ ܕܢܘܗܪܗ̇ ܕܥܕܬܐ. ܡܪܝ ܦܘܠܘܣ ܫܠܝܚܐ ܫܡܝܢܐ']"
22,ACE 00020,Syriac,"1,942 CE","['New Testament Lectionary\nܐܓܪ̈ܬܐ ܕܡܪܝ ܦܘܠܘܣ ܫܠܝܚܐ', 'ܐܓܪ̈ܬܐ ܕܡܪܝ ܦܘܠܘܣ ܫܠܝܚܐ']"
23,ACE 00021,Syriac,"1,714 CE","['New Testament Lectionary\nܟܬܒܐ ܕܦܘܪܫ ܩܪ̈ܝܢܐ ܕܡܟܢܫܝܢ ܡܢ ܐܓܪ̈ܬܗ ܕܢܘܗܪܗ̇ ܕܥܕܬܐ. ܡܪܝ ܦܘܠܘܣ ܫܠܝܚܐ ܫܡܝܢܐ', 'ܟܬܒܐ ܕܦܘܪܫ ܩܪ̈ܝܢܐ ܕܡܟܢܫܝܢ ܡܢ ܐܓܪ̈ܬܗ ܕܢܘܗܪܗ̇ ܕܥܕܬܐ. ܡܪܝ ܦܘܠܘܣ ܫܠܝܚܐ ܫܡܝܢܐ']"
24,ACE 00022,"Neo-Aramaic, Syriac","1,900 CE",['Religious poems']
25,ACE 00024,Syriac,"1,769 CE","['Treatise on the seven sacraments\nܫܒܥܐ ܐܪ̈ܙܐ ܥܡ ܦܘܫܩ̈ܝܗܘܢ. ܐܟܡܐ ܕܐܬܛܟܣܘ ܡܢ ܣܘܢܗܕܘ ܕܦܠܘܪܢܬܝܐ ܕܚܕܥܣܪ', 'ܫܒܥܐ ܐܪ̈ܙܐ ܥܡ ܦܘܫܩ̈ܝܗܘܢ. ܐܟܡܐ ܕܐܬܛܟܣܘ ܡܢ ܣܘܢܗܕܘ ܕܦܠܘܪܢܬܝܐ ܕܚܕܥܣܪ']"
26,ACE 00025,Syriac,"1,819 CE","['The Ruby necklace\nTitle page states that the text was translated from Arabic into Syriac by Yawsef of Slukh (Kirkuk), 1798 CE\u200b', 'Title page states that the text was translated from Arabic into Syriac by Yawsef of Slukh (Kirkuk), 1798 CE\u200b']"
27,ACE 00026,Syriac,"1,841 CE","['The Ruby Necklace\nTitle page states that the text was translated from Arabic into Syriac by Yawsef of Slukh (Kirkuk), 1798 CE', 'Title page states that the text was translated from Arabic into Syriac by Yawsef of Slukh (Kirkuk), 1798 CE']"
28,ACE 00027,Syriac,"1,856 CE","['Canon of the apostolic faith\nܟܬܒܐ ܕܦܘܫܩ ܩܢܘܢܐ ܕܗܝܡܢܘܬܐ ܫܠܝܚܝܬܐ\nText translated into Syriac from Arabic', 'ܟܬܒܐ ܕܦܘܫܩ ܩܢܘܢܐ ܕܗܝܡܢܘܬܐ ܫܠܝܚܝܬܐ', 'Text translated into Syriac from Arabic']"
29,ACE 00028,Syriac,Unknown,"[""Chances of conscience\nTranslation from Latin into Syriac by Shmu'el Jamīl, general abbot for Chaldean monks, active 1881-1917"", ""Translation from Latin into Syriac by Shmu'el Jamīl, general abbot for Chaldean monks, active 1881-1917""]"
30,ACE 00030,Syriac,"1,717 CE",['Ḥūdrā (Chaldean Rite)']
31,ACE 00031,Syriac,"1,724 CE",['Ḥūdrā (Chaldean Rite)']
32,ACE 00032,Syriac,"1,725 CE",['Ḥūdrā (Chaldean Rite)']
33,ACE 00033,Syriac,"1,735 CE","['Ḥūdrā (Chaldean Rite)\nܥܘܢ̈ܝܬܐ ܕܚܘܕܪܐ ܕܡܢ ܒܬܪ ܕܩܝܡܬܐ ܥܕ ܕܫܘܠܡܐ', 'ܥܘܢ̈ܝܬܐ ܕܚܘܕܪܐ ܕܡܢ ܒܬܪ ܕܩܝܡܬܐ ܥܕ ܕܫܘܠܡܐ']"
34,ACE 00034,Syriac,"1,735 CE","['Ḥūdrā (Chaldean Rite)\nܛܘܟܣ ܝܘܡ̈ܬܐ ܘܟܪܘܟܝܐ ܕܟܠܗ̇ ܫܢܬܐ ܘܚܘܕܪܐ ܕܡܕܒܪܢܘܬܐ', 'ܛܘܟܣ ܝܘܡ̈ܬܐ ܘܟܪܘܟܝܐ ܕܟܠܗ̇ ܫܢܬܐ ܘܚܘܕܪܐ ܕܡܕܒܪܢܘܬܐ']"
35,ACE 00035,Syriac,"1,736 CE","['Ḥūdrā (Chaldean Rite)\nܥܘܢ̈ܝܬܐ ܕܚܘܕܪܐ ܕܡܢ ܒܬܪ ܕܩܝܡܬܐ ܥܕ ܕܫܘܠܡܐ', 'ܥܘܢ̈ܝܬܐ ܕܚܘܕܪܐ ܕܡܢ ܒܬܪ ܕܩܝܡܬܐ ܥܕ ܕܫܘܠܡܐ']"
36,ACE 00036,Syriac,"1,737 CE","['Ḥūdrā (Chaldean Rite)\nܛܘܟܣ ܝܘܡ̈ܬܐ ܘܟܪܘܟܝܐ ܕܟܠܗ̇ ܫܢܬܐ ܘܚܘܕܪܐ ܕܡܕܒܪܢܘܬܐ', 'ܛܘܟܣ ܝܘܡ̈ܬܐ ܘܟܪܘܟܝܐ ܕܟܠܗ̇ ܫܢܬܐ ܘܚܘܕܪܐ ܕܡܕܒܪܢܘܬܐ']"
37,ACE 00037,Syriac,"1,842 CE","['Ḥūdrā (Chaldean Rite)\nܛܘܟܣ ܝܘܡ̈ܬܐ [ܘܟܪ]ܘܟܝܐ ܕܟܠܐ ܫܢܬܐ ܘܚܘܕܪܐ ܕܡܕܒܪܢܘܬܐ', 'ܛܘܟܣ ܝܘܡ̈ܬܐ [ܘܟܪ]ܘܟܝܐ ܕܟܠܐ ܫܢܬܐ ܘܚܘܕܪܐ ܕܡܕܒܪܢܘܬܐ']"
38,ACE 00038,Syriac,"1,800 CE",['Ḥūdrā (Chaldean Rite)']
39,ACE 00039,Syriac,"1,800 CE",['Ḥūdrā (Chaldean Rite)']
40,ACE 00040,Syriac,"1,774 CE","['Gazzā (Chaldean Rite)\nܟܬܒܐ ܕܓܙܐ ܕܕܘܟܪܢ̈ܐ ܟܠܗܘܢ ܘܕܥܐܕ̈ܐ ܡܪ̈ܢܝܐ', 'ܟܬܒܐ ܕܓܙܐ ܕܕܘܟܪܢ̈ܐ ܟܠܗܘܢ ܘܕܥܐܕ̈ܐ ܡܪ̈ܢܝܐ']"
41,ACE 00041,Syriac,"1,789 CE","['Gazzā\nܟܬܒܐ ܕܓܙܐ ܕܕܘܟܪܢ̈ܐ ܟܠܗܘܢ ܘܕܥܐܕ̈ܐ ܡܪ̈ܢܝܐ', 'ܟܬܒܐ ܕܓܙܐ ܕܕܘܟܪܢ̈ܐ ܟܠܗܘܢ ܘܕܥܐܕ̈ܐ ܡܪ̈ܢܝܐ']"
42,ACE 00042,Syriac,"1,800 CE","['Gazzā (Chaldean Rite)\nܟܬܒܐ ܕܓܙܐ ܕܕܘܟܪܢ̈ܐ ܟܠܗܘܢ ܘܕܥܐܕ̈ܐ ܡܪ̈ܢܝܐ', 'ܟܬܒܐ ܕܓܙܐ ܕܕܘܟܪܢ̈ܐ ܟܠܗܘܢ ܘܕܥܐܕ̈ܐ ܡܪ̈ܢܝܐ']"
43,ACE 00043,Syriac,"1,810 CE",['Gazzā (Chaldean Rite)']
44,ACE 00044,Syriac,"1,939 CE","['Gazzā\nܟܬܒܐ ܕܓܙܐ', 'ܟܬܒܐ ܕܓܙܐ']"
45,ACE 00045,Syriac,"1,800 CE",['Gazzā (Chaldean Rite)']
46,ACE 00046,Syriac,"1,800 CE","['Kaškūl (Chaldean Rite)\nܛܟܣܐ ܕܚܘܕܪܐ ܕ ܝܘ̈ܡܬܐ ܫܚܝܡ̈ܐ', 'ܛܟܣܐ ܕܚܘܕܪܐ ܕ ܝܘ̈ܡܬܐ ܫܚܝܡ̈ܐ']"
47,ACE 00047,Syriac,"1,818 CE","['Kaškūl (Chaldean Rite)\nܚܘܕܪܐ ܕ ܝܘ̈ܡܬܐ ܫܚܝܡ̈ܐ', 'ܚܘܕܪܐ ܕ ܝܘ̈ܡܬܐ ܫܚܝܡ̈ܐ']"
48,ACE 00048,Syriac,"1,853 CE",['Kaškūl (Chaldean Rite)']
49,ACE 00049,Syriac,"1,857 CE","['Kaškūl (Chaldean Rite)\nܚܘܕܪܐ ܐܘܟܝܬ ܕܟܫܟܘܠ ܕܝܘ̈ܡܬܐ ܫܚܝܡ̈ܐ', 'ܚܘܕܪܐ ܐܘܟܝܬ ܕܟܫܟܘܠ ܕܝܘ̈ܡܬܐ ܫܚܝܡ̈ܐ']"
50,ACE 00050,Syriac,"1,871 CE","['Kaškūl (Chaldean Rite)\nܚܘܕܪܐ ܐܘܟܝܬ ܕܟܫܟܘܠ ܕܝܘ̈ܡܬܐ ܫܚܝܡ̈ܐ', 'ܚܘܕܪܐ ܐܘܟܝܬ ܕܟܫܟܘܠ ܕܝܘ̈ܡܬܐ ܫܚܝܡ̈ܐ']"
51,ACE 00051,Syriac,"1,938 CE","['Kaškūl (Chaldean Rite)\nܚܘܕܪܐ ܐܘܟܝܬ ܕܟܫܟܘܠ ܕܝܘ̈ܡܬܐ ܫܚܝܡ̈ܐ', 'ܚܘܕܪܐ ܐܘܟܝܬ ܕܟܫܟܘܠ ܕܝܘ̈ܡܬܐ ܫܚܝܡ̈ܐ']"
52,ACE 00052,Syriac,"1,940 CE","['Kaškūl (Chaldean Rite)\nܚܘܕܪܐ ܐܘܟܝܬ ܕܟܫܟܘܠ ܕܝܘ̈ܡܬܐ ܫܚܝܡ̈ܐ', 'ܚܘܕܪܐ ܐܘܟܝܬ ܕܟܫܟܘܠ ܕܝܘ̈ܡܬܐ ܫܚܝܡ̈ܐ']"
53,ACE 00053,Syriac,"1,572 CE","['Bā‘ūtā d-nīnwāyē (Chaldean Rite)\n\u200bܟܬܒܐ ܕܡܐܡܪ̈ܐ ܕܒܥܘܬܐ (Book of the Memre of the supplication [of Nineveh])\nIncludes memre attributed to Ephrem of Nisibis', '\u200bܟܬܒܐ ܕܡܐܡܪ̈ܐ ܕܒܥܘܬܐ (Book of the Memre of the supplication [of Nineveh])', 'Includes memre attributed to Ephrem of Nisibis']"
54,ACE 00054,Syriac,"1,851 CE","['Bā‘ūtā d-nīnwāyē (Chaldean Rite)\n\u200bܟܬܒܐ ܕܡܐܡܪ̈ܐ ܕܒܥܘܬܐ (Book of the Memre of the supplication [of Nineveh])\nIncludes memre attributed to Ephrem of Nisibis', '\u200bܟܬܒܐ ܕܡܐܡܪ̈ܐ ܕܒܥܘܬܐ (Book of the Memre of the supplication [of Nineveh])', 'Includes memre attributed to Ephrem of Nisibis']"
55,ACE 00055,Syriac,"1,703 CE","['Elijah III, Prayers for the Morning Office']"
56,ACE 00056,Syriac,"1,722 CE","['Elijah III, Prayers for the morning office']"
57,ACE 00057,Syriac,"1,800 CE","['Gewargis Warda, The Book of the Rose']"
58,ACE 00058,Syriac,"1,770 CE","['Hymns for Sundays and Feast Days\nIncludes hymns by ʻAbdīshōʻ bar Brīkā and Israel of Alqosh', 'Includes hymns by ʻAbdīshōʻ bar Brīkā and Israel of Alqosh']"
59,ACE 00059,Syriac,"1,770 CE",['Hymns for Sundays and Feast Days']
60,ACE 00060,Syriac,"1,800 CE","['Hymns for Sundays and feast days\n\u200bܣܘܓܝ̈ܬܐ ܕܡܬܙܡܪ̈ܢ ܒܚܕܒܫ̈ܒܐ ܘܒܥܐܕ̈ܐ ܘܒܕܘܟܪ̈ܢܐ ܕܟܠܗ̇ ܫܢܬܐ', '\u200bܣܘܓܝ̈ܬܐ ܕܡܬܙܡܪ̈ܢ ܒܚܕܒܫ̈ܒܐ ܘܒܥܐܕ̈ܐ ܘܒܕܘܟܪ̈ܢܐ ܕܟܠܗ̇ ܫܢܬܐ']"
61,ACE 00061,Syriac,"1,856 CE",['Qdām wa d-bātar (Chaldean Rite)']
62,ACE 00062,Syriac,"1,879 CE","['Qdām wa d-bātar (Chaldean Rite)\n\u200bܟܬܒܐ ܕܩܕܡ ܘܕܒܬܪ', '\u200bܟܬܒܐ ܕܩܕܡ ܘܕܒܬܪ']"
63,ACE 00063,Syriac,"1,700 CE",['Psalter (Chaldean Rite)']
64,ACE 00064,Syriac,"1,872 CE","['Psalter (Chaldean Rite)\nܡܙܡܘܪ̈ܐ ܕܕܘܝܕ ܡܠܟܐ ܘܢܒܝܐ', 'ܡܙܡܘܪ̈ܐ ܕܕܘܝܕ ܡܠܟܐ ܘܢܒܝܐ']"
65,ACE 00065,Syriac,"1,909 CE","['Psalter (Chaldean Rite)\n\u200bܡܙܡܘܪ̈ܐ', '\u200bܡܙܡܘܪ̈ܐ']"
66,ACE 00066,Syriac,"1,927 CE","['Psalter (Chaldean Rite)\n\u200bܟܬܒܐ ܕܡܙܡܘܪ̈ܐ ܕܕܘܝܕ', '\u200bܟܬܒܐ ܕܡܙܡܘܪ̈ܐ ܕܕܘܝܕ']"
67,ACE 00067,Syriac,"1,800 CE","['Psalter (Chaldean Rite)\nܡܙܡܘܪ̈ܐ', 'ܡܙܡܘܪ̈ܐ']"
68,ACE 00068,Syriac,"1,900 CE","['Psalter (Chaldean Rite)\n\u200bܡܙܡܘܪ̈ܐ', '\u200bܡܙܡܘܪ̈ܐ']"
69,ACE 00069,Syriac,"1,800 CE","['Psalter (Chaldean Rite)\n\u200bܡܙܡܘܪ̈ܐ', '\u200bܡܙܡܘܪ̈ܐ']"
70,ACE 00070,Syriac,"1,900 CE","['Psalter (Chaldean Rite)\n\u200bܡܙܡܘܪ̈ܐ', '\u200bܡܙܡܘܪ̈ܐ']"
71,ACE 23,Syriac,"1,768 CE","['Joseph II, Patriarch of the Chaldeans\nPolished mirror (ܡܚܙܝܬܐ ܡܪܝܩܬܐ)', 'Polished mirror (ܡܚܙܝܬܐ ܡܪܝܩܬܐ)']"
72,ACK 00001,Syriac,"1,836 CE",['Uncatalogued']
73,ACK 00002,Syriac,"1,862 CE",['Uncatalogued']
74,ACK 00004,Syriac,"1,600 CE",['New Testament']
75,ACK 00005,Syriac,"1,600 CE","['Evangelion (Syriac Rite, Eastern)']"
76,ACK 00006,Syriac,"1,711 CE","['Evangelion (Syriac Rite, Eastern)']"
77,ACK 00007,Syriac,"1,718 CE","['Evangelion (Syriac Rite, Eastern)']"
78,ACK 00008,Syriac,"1,722 CE","['Evangelion (Syriac Rite, Eastern)']"
79,ACK 00009,Syriac,"1,733 CE","['Lectionary of the Pauline Epistles (Syriac Rite, Eastern)']"
80,ACK 00010,Syriac,"1,846 CE","['Lectionary (Syriac Rite, Eastern)']"
81,ACK 00011,"Garshuni, Syriac","1,716 CE",['Book of explanation of obscure words']
82,ACK 00012,Syriac,"1,791 CE","['f. 3v-151v Epiphanius, Lives of Prophets', 'f. 52r-141r Cave of Treasures', 'f. 141r-146r Vision of Ezra in the desert', 'f. 151v-160r Record about a meeting in the church of St. Peter and Paul in Rome in the year 1140 of the Greeks']"
83,ACK 00015,Syriac,"1,766 CE","['Joseph II, Book of the Magnet']"
84,ACK 00016,Syriac,"1,770 CE","['Joseph II, Explanation of Liturgical Services']"
85,ACK 00017,"Garshuni, Turkish","1,806 CE","['Joseph II, Explanation of Liturgical Services']"
86,ACK 00018,Syriac,"1,800 CE",['f. 1r-167v The Polished Mirror']
87,ACK 00020,"Garshuni, Turkish","1,804 CE",['Explanation of the canon of the Apostolic faith']
88,ACK 00021,"Garshuni, Turkish","1,892 CE",['Explanation of the canon of the Apostolic faith']
89,ACK 00023,Garshuni,"1,900 CE",['Divine World']
90,ACK 00024,Syriac,"1,926 CE",['Ethical Theology']
91,ACK 00025,Syriac,"1,708 CE","['Ḥudrā\xa0(Syriac Rite, Eastern)']"
92,ACK 00026,Syriac,"1,723 CE","['Ḥudrā\xa0(Syriac Rite, Eastern)']"
93,ACK 00027,Syriac,"1,732 CE","['Ḥudrā\xa0(Syriac Rite, Eastern)']"
94,ACK 00028,Syriac,"1,700 CE","['Ḥudrā\xa0(Syriac Rite, Eastern)']"
95,ACK 00029,Syriac,"1,813 CE","['Ḥudrā\xa0(Syriac Rite, Eastern)']"
96,ACK 00030,Syriac,"1,733 CE","['Ḥudrā\xa0(Syriac Rite, Eastern)']"
97,ACK 00031,Syriac,"1,600 CE","['Kaškūl\xa0(Syriac Rite, Eastern)']"
98,ACK 00032,Syriac,"1,712 CE","['Kaškūl\xa0(Syriac Rite, Eastern)']"
99,ACK 00033,Syriac,"1,880 CE","['Kaškūl\xa0(Syriac Rite, Eastern)']"
100,ACK 00034,Syriac,"1,720 CE","['Gazzā (Syriac Rite, Eastern)']"
101,ACK 00035,Syriac,"1,836 CE","['Gazzā\xa0(Syriac Rite, Eastern)']"
102,ACK 00036,Syriac,"1,798 CE","['Gazzā\xa0(Syriac Rite, Eastern)']"
103,ACK 00037,Syriac,"1,701 CE","['Gazzā\xa0(Syriac Rite, Eastern)']"
104,ACK 00038,Syriac,"1,895 CE",['Commemoration of Saint martyr Tahmazgard']
105,ACK 00039,Syriac,"1,899 CE","[""Commemoration of Saint Simeon bar Sabba'e""]"
106,ACK 00040,Syriac,"1,706 CE","['Qdām wa d-batar (Syriac Rite, Eastern)']"
107,ACK 00041,Syriac,"1,873 CE","['Qdām wa d-batar (Syriac Rite, Eastern)']"
108,ACK 00042,Syriac,"1,714 CE","['Ḥudrā\xa0(Syriac Rite, Eastern)', 'Psalter\xa0(Syriac Rite, Eastern)']"
109,ACK 00043,Syriac,"1,720 CE","['Psalter (Syriac Rite, Eastern)\n\u200bܟܬܒܐ ܕܡܙܡܘܪ̈ܐ', '\u200bܟܬܒܐ ܕܡܙܡܘܪ̈ܐ']"
110,ACK 00044,Syriac,"1,700 CE","['Psalter (Syriac Rite, Eastern)\n\u200bܟܬܒܐ ܕܡܙܡܘܪ̈ܐ', '\u200bܟܬܒܐ ܕܡܙܡܘܪ̈ܐ']"
111,ACK 00045,Syriac,"1,700 CE","['\u200bIsaac of Nineveh, Homilies for the Rogation of the Ninevites\nܡܐܡܪ̈ܐ ܕܒܥܘܬܐ ܕܢܝܢ̈ܘܝܐ', 'ܡܐܡܪ̈ܐ ܕܒܥܘܬܐ ܕܢܝܢ̈ܘܝܐ']"
112,ACK 00047,Syriac,"1,894 CE","['Liturgy of Apostles Addai and Mārī\nTaksā (Chaldean Rite)\nIncipit:\xa0ܩܕܡܐܝܬ ܡܫܪܝܢ ܐܒܘܢ ܕܒܫܡܝܐ\nExplicit:\xa0ܘܐܙܠ ܥܡ ܡܫܡܫܢܐ ܠܓܘ ܒܝܬ ܕܝܩܘܢ . ܘܫܠܚ ܠܒܘܫ̈ܝ ܩܘܕܫܐ', 'Taksā (Chaldean Rite)', 'Incipit:\xa0ܩܕܡܐܝܬ ܡܫܪܝܢ ܐܒܘܢ ܕܒܫܡܝܐ', 'Explicit:\xa0ܘܐܙܠ ܥܡ ܡܫܡܫܢܐ ܠܓܘ ܒܝܬ ܕܝܩܘܢ . ܘܫܠܚ ܠܒܘܫ̈ܝ ܩܘܕܫܐ']"
113,ACK 00048,Syriac,"1,900 CE","['Liturgy of the Apostles\nṬaksā (Chaldean Rite)\nܛܟܣܐ ܕܩܘܕܫܐ ܕܐܪ̈ܙܐ ܩܕܝܫ̈ܐ ܐܝܟ ܥܝܕܐ ܕܥܕܬܐ ܩܕܝܫܐ ܕܟܠ̈ܕܝܐ', 'Ṭaksā (Chaldean Rite)', 'ܛܟܣܐ ܕܩܘܕܫܐ ܕܐܪ̈ܙܐ ܩܕܝܫ̈ܐ ܐܝܟ ܥܝܕܐ ܕܥܕܬܐ ܩܕܝܫܐ ܕܟܠ̈ܕܝܐ']"
